hyperparams/batch_size,hyperparams/n_steps,hyperparams/ent_coef,hyperparams/clip_range,hyperparams/seed,hyperparams/gamma,hyperparams/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/entropy_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,train/std,train/explained_variance,train/loss
1024,4096,0.01,0.2,2,0.99,0.0001,,,,,,,,,,,,,,,,,
,,,,,,,1141,3473.61521838,315392,81.8,276,77,-23.32649607658386,0.0216552734375,760,-0.002054255228722468,210614.410546875,0.0001,0.2,0.004829536,286.3766174316406,0.40654194355010986,107577.046875
,,,,,,,1155,3270.6739433500006,319488,82.61,276,78,-23.326924753189086,0.000146484375,770,-0.0003117319633020088,178524.702734375,0.0001,0.2,0.0013461227,286.40411376953125,0.3463820815086365,83275.15625
,,,,,,,1171,3380.493852250001,323584,77.95,276,79,-23.32711296081543,0.01611328125,780,-0.00220869138429407,170124.014453125,0.0001,0.2,0.004042531,286.4642333984375,0.3612458109855652,84451.8671875
,,,,,,,1185,3295.932310530001,327680,73.79,276,80,-23.327640962600707,0.01142578125,790,-0.0018307269318029284,189721.36953125,0.0001,0.2,0.003274269,286.5335998535156,0.46052688360214233,88338.46875
,,,,,,,1200,3756.7692836800006,331776,80.01,276,81,-23.32788977622986,0.0142822265625,800,-0.0016580445284489543,209442.4328125,0.0001,0.2,0.0041157757,286.5879821777344,0.4250914454460144,103059.84375
,,,,,,,1216,3731.43131876,335872,83.06,276,82,-23.328517150878906,0.001806640625,810,-0.0007146122283302247,246961.9296875,0.0001,0.2,0.002254762,286.59051513671875,0.5971244871616364,125209.953125
,,,,,,,1230,3941.696141510001,339968,85.37,276,83,-23.328585720062257,0.00966796875,820,-0.0017000822757836432,222119.5734375,0.0001,0.2,0.0041585276,286.5530700683594,0.30361729860305786,107264.9609375
,,,,,,,1246,3505.2358352700003,344064,76.13,276,84,-23.32833695411682,0.018896484375,830,-0.0027130388887599112,238152.603125,0.0001,0.2,0.0035742358,286.5471496582031,0.10622763633728027,118159.4140625
,,,,,,,1260,3303.8622190199994,348160,73.09,276,85,-23.329038238525392,0.0217529296875,840,-0.0021962634171359243,175863.1765625,0.0001,0.2,0.002473155,286.56005859375,0.3395354747772217,88051.9609375
,,,,,,,1274,3691.52661891,352256,82.51,276,86,-23.329859495162964,0.0013916015625,850,-0.0014062104892218485,220468.79609375,0.0001,0.2,0.0022277366,286.5932312011719,0.2011864185333252,107592.671875
,,,,,,,1289,3611.0616402400005,356352,84.4,276,87,-23.329972791671754,0.004345703125,860,-0.001515628636116162,186670.240625,0.0001,0.2,0.0028051683,286.65032958984375,0.12537622451782227,93983.515625
,,,,,,,1304,3568.5590473499997,360448,77.37,276,88,-23.330136680603026,0.00341796875,870,-0.0016283088800264523,214649.652734375,0.0001,0.2,0.002594383,286.6822814941406,0.42093223333358765,100765.625
,,,,,,,1319,3388.020406,364544,72.33,276,89,-23.330311155319215,0.0001953125,880,-0.0007139716093661263,216863.3171875,0.0001,0.2,0.0011294193,286.6830749511719,0.602959930896759,110508.59375
,,,,,,,1334,3579.7026352200005,368640,76.81,276,90,-23.330694818496703,0.0128662109375,890,-0.0013834302430041135,189550.82421875,0.0001,0.2,0.0038468805,286.6812438964844,0.5022019445896149,94545.921875
,,,,,,,1348,3661.67357104,372736,80.51,276,91,-23.33070116043091,0.0044189453125,900,-0.0009590524714440107,210450.12890625,0.0001,0.2,0.003985808,286.6627197265625,0.4848994016647339,107430.5234375
,,,,,,,1362,3385.9413598900005,376832,84.35,276,92,-23.330952882766724,0.0197998046875,910,-0.001849422592204064,179630.425,0.0001,0.2,0.00488554,286.6842956542969,0.5401840209960938,88318.4609375
,,,,,,,1377,3329.0509455199995,380928,80.4,276,93,-23.331655550003052,0.02236328125,920,-0.0024582834914326666,173988.10234375,0.0001,0.2,0.003581578,286.7015075683594,0.4805060625076294,87515.421875
,,,,,,,1392,3570.2717208699996,385024,78.17,276,94,-23.332227659225463,0.0092041015625,930,-0.001569381295121275,206564.10625,0.0001,0.2,0.003696638,286.7047424316406,0.4353176951408386,102984.609375
,,,,,,,1406,3902.77933471,389120,83.9,276,95,-23.332344007492065,0.0231689453125,940,-0.002679513260954991,212720.615234375,0.0001,0.2,0.003865158,286.72723388671875,0.16964203119277954,105918.703125
,,,,,,,1421,3738.3699577200005,393216,85.4,276,96,-23.33253421783447,0.0162841796875,950,-0.0027744894206989555,214250.4421875,0.0001,0.2,0.0049838223,286.7704162597656,0.43945378065109253,107984.7109375
,,,,,,,1434,3908.0763461300003,397312,90.18,276,97,-23.33353943824768,0.0006103515625,960,-0.0008262547198683023,173360.663671875,0.0001,0.2,0.0016382423,286.8123474121094,0.4980838894844055,83053.6328125
,,,,,,,1450,3760.5182203,401408,84.15,276,98,-23.334023904800414,0.0008056640625,970,-0.0007844852341804653,195382.061328125,0.0001,0.2,0.001717462,286.8398742675781,0.5544477999210358,92421.3125
,,,,,,,1465,3442.0696871000005,405504,78.44,276,99,-23.33476300239563,0.0156494140625,980,-0.0019217179156839847,222816.525,0.0001,0.2,0.0024707443,286.9657287597656,0.1496899127960205,109178.3359375
,,,,,,,1481,3642.2966036899993,409600,81.09,276,100,-23.335444593429564,0.0025634765625,990,-0.0011833210359327496,181374.79453125,0.0001,0.2,0.0023346527,287.0025329589844,0.5969848930835724,93406.28125
,,,,,,,1496,3706.4404133099997,413696,81.73,276,101,-23.335122537612914,0.0230712890625,1000,-0.0023746535007376224,246519.376171875,0.0001,0.2,0.003206669,286.9399108886719,0.5695457458496094,127866.3046875
,,,,,,,1510,3586.013460450001,417792,86.97,276,102,-23.334341382980348,0.0030517578125,1010,-0.0014716129517182708,198067.126953125,0.0001,0.2,0.0028670141,286.9228820800781,0.5296737551689148,97567.015625
,,,,,,,1525,3735.5126766199996,421888,90.27,276,103,-23.334745502471925,4.8828125e-05,1020,-0.0004885803500656039,179676.808984375,0.0001,0.2,0.0009880766,286.9108581542969,0.5783613324165344,86109.5859375
,,,,,,,1538,3620.91912373,425984,89.48,276,104,-23.33515477180481,0.0031982421875,1030,-0.0009229828807292506,209135.904296875,0.0001,0.2,0.0032480923,286.917236328125,0.3537485599517822,105711.9609375
,,,,,,,1553,3706.4067672,430080,96.29,276,105,-23.335587072372437,0.0,1040,-0.000268522955593653,160029.00390625,0.0001,0.2,0.0005110229,286.9279479980469,0.4144853949546814,76630.6328125
,,,,,,,1567,3707.89806156,434176,97.39,276,106,-23.33564248085022,0.00380859375,1050,-0.0011497071594931186,161635.194921875,0.0001,0.2,0.0035348092,286.91845703125,0.3867107033729553,79789.1796875
,,,,,,,1581,3828.2332309000008,438272,89.79,277,107,-23.335866832733153,0.0161865234375,1060,-0.002619881823193282,203984.028125,0.0001,0.2,0.0063578696,286.8884582519531,0.41263818740844727,101620.328125
,,,,,,,1596,3826.3101730900003,442368,84.4,277,108,-23.3357141494751,0.01396484375,1070,-0.0015554321085801347,216907.519140625,0.0001,0.2,0.0048457505,286.9044494628906,0.5633679628372192,108460.671875
,,,,,,,1609,3726.158850080001,446464,87.09,277,109,-23.335354471206664,0.0002197265625,1080,-0.0007728397322352976,187647.634765625,0.0001,0.2,0.0016003274,286.9196472167969,0.3513813018798828,89653.796875
,,,,,,,1623,3568.1407066400006,450560,80.34,277,110,-23.335404777526854,0.0059326171875,1090,-0.0011691819061525166,209323.982421875,0.0001,0.2,0.0043755253,286.90264892578125,0.41827327013015747,107546.09375
,,,,,,,1637,3870.5763266900003,454656,78.54,277,111,-23.334932565689087,0.0002685546875,1100,-0.000546406235662289,191878.72734375,0.0001,0.2,0.0015103566,286.8905029296875,0.5378498733043671,93547.9609375
,,,,,,,1650,4042.7524424300004,458752,89.42,277,112,-23.335276699066164,0.027197265625,1110,-0.0027760561381001024,233130.0203125,0.0001,0.2,0.0033812323,287.0436706542969,0.2802272439002991,108065.1640625
,,,,,,,1664,3706.6848241300004,462848,90.06,278,113,-23.335854387283327,0.0066650390625,1120,-0.0010793966357596219,160772.4109375,0.0001,0.2,0.004542341,287.1437072753906,0.4515231251716614,76440.34375
,,,,,,,1678,3539.0346205799997,466944,82.14,278,114,-23.335841417312622,0.0260986328125,1130,-0.0027589983161306008,205238.348046875,0.0001,0.2,0.004747698,287.1976623535156,0.4314565658569336,97914.015625
,,,,,,,1692,3463.83403708,471040,81.04,278,115,-23.335848903656007,0.0073486328125,1140,-0.0018546937353676185,197408.02734375,0.0001,0.2,0.0039305305,287.214111328125,0.27711814641952515,99564.828125
,,,,,,,1706,3645.8725507399995,475136,80.14,278,116,-23.33629903793335,0.0086669921875,1150,-0.0012281672738026828,189104.38203125,0.0001,0.2,0.004951789,287.2735290527344,0.41127365827560425,92420.8984375
